Address,Avg Time Between Received Transactions (mins),Time Span of Transactions (mins),Unique Senders to Receiver,Min Value Received,Max Value Received,Avg Value Received,Total Transactions,Total Cryptocurrency Received,Remaining Cryptocurrency Balance
0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,12.00,12.00,1,0.000627070000000000,0.000627220000000000,0.000627145000000000,2,0.001254290000000000,0.001254290000000000
0x0b3b161b8abeb6b04cb95c3e6047f80c120a0292,1621.87,48656.00,1,0.025985650031512823,1.261694581005164739,0.179190011964587309,31,5.554890370902206165,5.554890370902206165
0x388c818ca8b9251b393131c08a736a67ccb19297,14.76,46805.40,1,0.002600171916774414,18.589153745962033071,0.212709714598321775,3172,674.715214705876633161,674.715214705876633161
0xffee087852cb4898e6c3532e776e68bc68b1143b,270.39,46507.80,1,0.014370587605654871,12.522754782197054624,0.232122897464966615,173,40.157261261439224143,40.157261261439224143
0x301407427168fb51bcc927b9fb76dcd88fe45681,5091.04,45819.40,1,0.018470314260877831,1.876110955879942477,0.266254540606836232,10,2.662545406068362208,2.662545406068362208
0x4a9fa341edb49a0e30b56b4b45d58f802f656c59,14977.87,44933.60,1,0.033133090729115307,0.104553056876969627,0.072492443478070948,4,0.289969773912283790,0.289969773912283790
0xb79872dc1e960b7c6b9b5e832dd55d9c2bf653cb,6270.57,43894.00,1,0.031626561990452211,0.416108834603696576,0.119888243278866394,8,0.959105946230931150,0.959105946230931150
0x8880bb98e7747f73b52a9cfa34dab9a4a06afa38,1032.89,44414.40,1,0.080910495135648575,4.011417308086280720,0.355797903876591659,44,15.655107770570031889,15.655107770570031889
0xdefe33795803f2353c69fd8cdb432f9d5cee6762,1578.85,44207.80,1,0.022600531377559425,0.940774095289561241,0.101082066276082794,29,2.931379922006401184,2.931379922006401184
0x1cedc0f3af8f9841b0a1f5c1a4ddc6e1a1629074,411.45,44025.20,1,0.011803379733225769,5.500488351686017907,0.238458058081777807,108,25.753470272832004184,25.753470272832004184
0xebec795c9c8bbd61ffc14a6662944748f299cacf,51.75,43887.80,1,0.011677681856156842,6.293758068270126849,0.201965835802545818,849,171.468994596361397953,171.468994596361397953
0xe94f1fa4f27d9d288ffea234bb62e1fbc086ca0c,172.13,42860.00,1,0.013672748255717569,3.501543531876050608,0.172432963107280041,250,43.108240776820011320,43.108240776820011320
0xb755c3bec24ed045dcf7303fe3b1d75183b14fa4,20631.90,41263.80,1,0.026797578607803924,0.087202770393456142,0.058360475843157122,3,0.175081427529471367,0.175081427529471367
0x221507c5cae31196a535f223c022eb0e38c3377d,3795.16,41746.80,1,0.018343610109509471,0.788062275718503735,0.144672485347348806,12,1.736069824168185782,1.736069824168185782
0xe98842c1b0065f5f4130dd1466e0a1155d1ce621,4099.20,40992.00,1,0.045471030155822240,1.677182989494572896,0.251421186447819911,11,2.765633050926019187,2.765633050926019187
0xc436eb8aed128275c8f224de2f1dd202c0ab5830,2270.56,40870.00,1,0.026172105020549733,12.329305359082733062,0.770443504509815136,19,14.638426585686488579,14.638426585686488579
0xc527702b14bf2f79f70b32e09f62b6a74cadfd80,2709.33,40640.00,1,0.039103227993165637,4.428980540020984513,0.476597901793527956,16,7.625566428696447296,7.625566428696447296
0x7a1a489c0ed8a07e25f03f3ddfad885a0d5390d6,1542.88,40114.80,1,0.019995045737087928,1.053403797786558238,0.108687805082475830,27,2.934570737226847470,2.934570737226847470
0x326ce3994d16e8ac6193d4a282ecd6be58818866,623.73,1871.20,1,0.019930548799476863,1.832657664823768240,0.487342092717080566,4,1.949368370868322264,1.949368370868322264
0x3e3753491f224571dd8d7e925b73cc685ab0aae4,4397.00,39573.00,1,0.023418932690874944,0.129664257694509594,0.064938891187389977,10,0.649388911873899799,0.649388911873899799
0xe688b84b23f322a994a53dbf8e15fa82cdb71127,58.77,40198.80,1,0.014456683071806220,26.192044734452370136,0.222593929122768069,685,152.476841449096127690,152.476841449096127690
0x51de21bec7f334cdc01d3787e2a150216628e021,1714.20,32569.80,1,0.023566621315422993,1.436297059514425767,0.179060850185349146,20,3.581217003706982815,3.581217003706982815
0xee5f5c53ce2159fc6dd4b0571e86a4a390d04846,2046.22,38878.20,1,0.019618654994320101,2.420349638191551911,0.283885586650712285,20,5.677711733014246143,5.677711733014246143
0x2f777e9f26aa138ed21c404079e80656b448c711,2570.76,38561.40,1,0.011372901912526616,0.506847671590992643,0.086689331297992375,16,1.387029300767878004,1.387029300767878004
0x0077732907bfc6208933cfd2a51afb8f33ca5958,602.06,38531.60,1,0.016649778707765909,8.889313345754842999,0.420033313895080640,65,27.302165403180239878,27.302165403180239878
0x6b333b20fbae3c5c0969dd02176e30802e2fbbdb,700.41,38522.40,1,0.015965715680187623,0.788727245201704119,0.125632064005854138,56,7.035395584327831742,7.035395584327831742
0x57865ba267d48671a41431f471933aec32a7c7d1,425.72,38315.20,1,0.024568741979653481,7.384741094444211562,0.255816751421919508,91,23.279324379394672917,23.279324379394672917
0xc2012f0b65adde87739344ab385992c4e36d0b0c,0.00,0.00,1,0.025681889693529730,0.025681889693529730,0.025681889693529730,1,0.025681889693529730,0.025681889693529730
0xffd22b84fb1d46ef74ed6530b2635be61340f347,1026.68,37987.20,1,0.019393287267882926,2.075896635848025085,0.156194656248804936,38,5.935396937454587629,5.935396937454587629
0xeee27662c2b8eba3cd936a23f039f3189633e4c8,391.84,38008.80,1,0.021507700146775614,1.311405719313308627,0.175020274838593448,98,17.151986934182158251,17.151986934182158251
0x9695ee4778bdeb13b217979d93c4670cbf41cc65,1889.69,37793.80,1,0.029144905187330653,0.796849892709308727,0.155793231085525896,21,3.271657852796043819,3.271657852796043819
0xba401cdac1a3b6aeede21c9c4a483be6c29f88c5,610.71,37864.00,1,0.077949369751447700,2.567551798694609921,0.290050183822807395,63,18.273161580836866591,18.273161580836866591
0xce8a9a40bd846dc8f27dda35dc8630f461fa0b1a,1563.19,37516.60,1,0.012897055715967729,1.002336311376068601,0.171985844438498348,25,4.299646110962458856,4.299646110962458856
0xbe4ed2345b57b87cb43d31c7f90cba7cd7f4457f,18687.40,37374.80,1,0.041599804101017039,0.185489337770729401,0.104347316327130069,3,0.313041948981390206,0.313041948981390206
0xc33049b3d6e330c696ba6a8b1c2ec343929705d9,0.00,0.00,1,0.032072034633514254,0.032072034633514254,0.032072034633514254,1,0.032072034633514254,0.032072034633514254
0x42a93a9f5cfda54716c414b6eaf07cf512f46ead,1636.37,37636.40,1,0.026092273654555673,0.831432313135348600,0.165080876666892223,24,3.961941040005413583,3.961941040005413583
0x80d01d9c1e98906c2343a3c0967883c086f4bd9d,0.00,0.00,1,0.065621649921627098,0.065621649921627098,0.065621649921627098,1,0.065621649921627098,0.065621649921627098
0x906219a7b1843e432a80714b584b8ce93c2005ed,8928.70,35714.80,1,0.023784553363253656,0.139774299361283105,0.093140948715945124,5,0.465704743579725633,0.465704743579725633
0xadae1798f761fa7fce29b6673d453d1a48a2931a,1284.20,37241.80,1,0.019587695869254872,0.729116983832074572,0.112989691916544316,30,3.389690757496329532,3.389690757496329532
0xa4c94a6091545e40fc9c3e0982aec8942e282f38,9181.00,36724.00,1,0.034698124905611361,1.258930774952159215,0.312077494628559049,5,1.560387473142795356,1.560387473142795356
0x0b70b578abd96aab5e80d24d1f3c28dbde14356a,5240.57,36684.00,1,0.041849057142188992,0.637767918334169903,0.223595410610244294,8,1.788763284881954352,1.788763284881954352
0xcfe2caaf3cec97061d0939748739bffe684ae91f,4656.07,37248.60,1,0.057246118221973917,1.946764432452864790,0.360371599694042033,9,3.243344397246378463,3.243344397246378463
0x7ade2d98420d1735ea2ad3c17ef46bf11500fc4f,9106.85,36427.40,1,0.041191250677746392,0.416549816672773521,0.126959148526219118,5,0.634795742631095616,0.634795742631095616
0xd345dd1dca8b61030f0ab65fd3d78ada17334f8c,0.00,0.00,1,0.042109674690968775,0.042109674690968775,0.042109674690968775,1,0.042109674690968775,0.042109674690968775
0x8b64673c9a482913a6e2c1298637532947cd96ee,0.00,0.00,1,0.051129885285533125,0.051129885285533125,0.051129885285533125,1,0.051129885285533125,0.051129885285533125
0x199719351b43815a00fa724c02e1ca0fbe9e6f67,20704.20,20704.20,1,0.081954928116850387,0.154488737485508870,0.118221832801179622,2,0.236443665602359243,0.236443665602359243
0x333c6e15b2fc194ed6b3f6937b8f3280053d47b4,13257.90,26515.80,1,0.044096018383182424,0.143976401702465784,0.103139179501562442,3,0.309417538504687339,0.309417538504687339
0x2b941072f0cc2ad3189b6e65bf5984faeb754f5d,0.00,0.00,1,0.031055712659158068,0.031055712659158068,0.031055712659158068,1,0.031055712659158068,0.031055712659158068
0xb65301693fc114f3d8c0c466e6139dde6d08a604,0.00,0.00,1,0.033128078600276986,0.033128078600276986,0.033128078600276986,1,0.033128078600276986,0.033128078600276986
0x8c779811306cee2fafc908c557ccb4be9ff20a01,0.00,0.00,1,0.105314800713764770,0.105314800713764770,0.105314800713764770,1,0.105314800713764770,0.105314800713764770
0x535b918f3724001fd6fb52fcc6cbc220592990a3,280.36,30278.60,1,0.030117187648083171,2.680494770654253678,0.171129611495802747,109,18.653127653042499645,18.653127653042499645
